DIRETOR,ANO_MAIS_RECENTE,N_FILMES,PRESTIGIO_FESTIV,CITA_N_PAPERS,CITA_SOMA_CIT,CITA_MAX_CIT,CITA_VENUES
BETO BRANT E RENATO CIASCA,2005,1,Sundance,40.0,123.0,42.0,LA Referencia (Red Federada de Repositorios Institucionales de Publicaciones Científicas) | CentAUR (University of Reading) | Revista Contracampo
ANDRE VILELA D ELIA,2023,5,,1.0,105.0,105.0,Frontiers in Microbiology
ARNALDO JABOR,2025,10,,31.0,80.0,17.0,Revista FAMECOS | Latin American Theatre Review (The University of Kansas) | theses.fr (ABES)
CARLA DE ANDRADE CAMURATI,2025,8,,33.0,76.0,16.0,LA Referencia (Red Federada de Repositorios Institucionales de Publicaciones Científicas) | Comunicação & Educação | Significação Revista de Cultura Audiovisual
EDUARDO DE OLIVEIRA COUTINHO,2015,17,,30.0,76.0,10.0,Film Quarterly | LA Referencia (Red Federada de Repositorios Institucionales de Publicaciones Científicas) | Galáxia (São Paulo)
ANDREA TONACCI,2014,7,,31.0,55.0,21.0,LA Referencia (Red Federada de Repositorios Institucionales de Publicaciones Científicas) | DOC online - Revista Digital de Cinema Documentário | DEVIRES - Cinema e Humanidades
ANSELMO DUARTE,2013,8,Oscar,29.0,54.0,9.0,Significação Revista de Cultura Audiovisual | Medical Entomology and Zoology | História Questões & Debates
BRUNO GULARTE BARRETO,2020,4,Oscar,38.0,49.0,17.0,LA Referencia (Red Federada de Repositorios Institucionales de Publicaciones Científicas) | SHILAP Revista de lepidopterología | Social Text
BRUNO VILLELA BARRETO BORGES,2025,25,,38.0,49.0,17.0,LA Referencia (Red Federada de Repositorios Institucionales de Publicaciones Científicas) | SHILAP Revista de lepidopterología | Social Text
CARLOS OSCAR REICHENBACH,2013,10,,27.0,48.0,17.0,Aniki Revista Portuguesa da Imagem em Movimento | Rebeca - Revista Brasileira de Estudos de Cinema e Audiovisual | LA Referencia (Red Federada de Repositorios Institucionales de Publicaciones Científicas)
CARLOS OSCAR REICHENBACH FILHO,2005,6,,27.0,48.0,17.0,Aniki Revista Portuguesa da Imagem em Movimento | Rebeca - Revista Brasileira de Estudos de Cinema e Audiovisual | LA Referencia (Red Federada de Repositorios Institucionales de Publicaciones Científicas)
CARLOS REICHENBACH,2009,2,,27.0,48.0,17.0,Aniki Revista Portuguesa da Imagem em Movimento | Rebeca - Revista Brasileira de Estudos de Cinema e Audiovisual | LA Referencia (Red Federada de Repositorios Institucionales de Publicaciones Científicas)
CARLOS BRAUN DE OLIVEIRA SAMPAIO,2016,5,,12.0,41.0,23.0,LA Referencia (Red Federada de Repositorios Institucionales de Publicaciones Científicas) | Revista FAMECOS | Rascunho
CARLOS HENKE DE OLIVEIRA,2024,1,,12.0,41.0,23.0,LA Referencia (Red Federada de Repositorios Institucionales de Publicaciones Científicas) | Revista FAMECOS | Rascunho
CARLOS AUGUSTO DE OLIVEIRA,2012,3,,12.0,41.0,23.0,LA Referencia (Red Federada de Repositorios Institucionales de Publicaciones Científicas) | Revista FAMECOS | Rascunho
CARLOS AUGUSTO OLIVEIRA,2023,1,,12.0,41.0,23.0,LA Referencia (Red Federada de Repositorios Institucionales de Publicaciones Científicas) | Revista FAMECOS | Rascunho
CARLOS AUGUSTO DE OLIVEIRA RIBEIRO JUNIOR,2011,1,,12.0,41.0,23.0,LA Referencia (Red Federada de Repositorios Institucionales de Publicaciones Científicas) | Revista FAMECOS | Rascunho
ANDRUCHA WADDINGTON E BRENO SILVEIRA,2005,1,Karlovy_Vary/Oscar,36.0,41.0,17.0,"LA Referencia (Red Federada de Repositorios Institucionales de Publicaciones Científicas) | Portuguese National Funding Agency for Science, Research and Technology (RCAAP Project by FCT) | Rebeca - Revista Brasileira de Estudos de Cinema e Audiovisual"
CARLOS EDUARDO DE OLIVEIRA NAZARIO,2024,4,,12.0,41.0,23.0,LA Referencia (Red Federada de Repositorios Institucionales de Publicaciones Científicas) | Revista FAMECOS | Rascunho
CARLOS HENRIQUE DE OLIVEIRA,2022,1,,12.0,41.0,23.0,LA Referencia (Red Federada de Repositorios Institucionales de Publicaciones Científicas) | Revista FAMECOS | Rascunho
ANDRE LUIS GARCIA DE OLIVEIRA,2015,3,,6.0,40.0,15.0,Gaceta UNAM (2000-2009) | Advanced Functional Materials | ChemSusChem
ANTONIO OLAVO DOS SANTOS FILHO,2021,7,,3.0,39.0,37.0,Monumenta Nipponica | Film Quarterly | Fotocinema Revista científica de cine y fotografía
