CPB,Projeto,Ano,Categoria,ADORO_SCORE_CRITICO,ADORO_SCORE_USUARIO,ADORO_N_CRITICOS,ADORO_N_USUARIOS,ADORO_URL,ADORO_MATCH_CONF,MC_METASCORE,MC_USER_SCORE,MC_N_REVIEWS,MC_MATCH_CONF,MC_BLOCKED,IMDB_RATING,IMDB_N_VOTES,LB_RATING,RT_TOMATOMETER,NORM_ADORO_CRITICO,NORM_ADORO_USUARIO,NORM_MC_META,NORM_MC_USER,NORM_IMDB,NORM_RT,NORM_LB,CRITICA_INDICE_1_5,CRITICA_FONTES,CRITICA_N_FONTES,CRITICA_CONFIANCA
B0400102700000,O JUDEU,1995,Renúncia — Outros Mecanismos,,,,,,nenhuma,,,,,,,,,,,,,,,,,,,0,
B0400059500000,BAILE PERFUMADO,1996,Renúncia — Outros Mecanismos,,,,,,nenhuma,,,,,,,,,,,,,,,,,,,0,
B0600547500000,"CEGO QUE GRITAVA LUZ, O",1996,Renúncia — Outros Mecanismos,,,,,,nenhuma,,,,,,,,,,,,,,,,,,,0,
B0500298800000,JENIPAPO,1996,Renúncia — Outros Mecanismos,,,,,,nenhuma,,,,,,,,,,,,,,,,,,,0,
B0500444400000,QUEM MATOU PIXOTE ?,1996,Renúncia — Art.3/3-A/39,,,,,,nenhuma,,,,,,,,,,,,,,,,,,,0,
B0500263900000,TIETA DO AGRESTE,1996,Renúncia — Art.3/3-A/39,,,,,,nenhuma,,,,,,,,,,,,,,,,,,,0,
B0400052500000,BOCAGE O TRIUNFO DO AMOR,1997,Renúncia — Outros Mecanismos,,4.3,71.0,507.0,/filmes/filme-188067/,alta,,,,,,,,,,,4.3,,,,,,4.3,adoro_usuario,1,baixa
B0500313900000,BUENA SORTE,1997,Renúncia — Art.3/3-A/39,,,,,,nenhuma,,,,,,,,,,,,,,,,,,,0,
B0500403400000,"FOR ALL, TRAMPOLIM DA VITÓRIA",1997,Renúncia — Art.3/3-A/39,4.218,4.0,11.0,234.0,/filmes/filme-304270/,alta,,,,,,,,,,4.218,4.0,,,,,,4.164,adoro_critico|adoro_usuario,2,alta
B0500262300000,"GRANDE NOITADA, A",1997,Renúncia — Outros Mecanismos,3.8,3.4,11.0,68.0,/filmes/filme-326583/,media,,,,,,,,,,3.8,3.4,,,,,,3.7,adoro_critico|adoro_usuario,2,media
B0500321300000,LUA DE OUTUBRO,1997,Renúncia — Outros Mecanismos,4.21,4.3,10.0,159.0,/filmes/filme-90976/,media,,,,,,,,,,4.21,4.3,,,,,,4.232,adoro_critico|adoro_usuario,2,media
