cpb,titulo,titulo_norm,pontuacao_total,n_festivais,lista_festivais,fonte
B1900486200000,A FEBRE,a febre,114.5,29,Academia Brasileira de Cinema [Grande Prêmio do Cinema Brasileiro] | Chicago Latino Film Festival | Encontros de Cinema da Amércia Latina de Toulouse | Festival de Brasília | Festival de Cine de Mujeres – FEMCINE | Festival de Cinema Brésilien de Paris | Festival de Cinema de Locarno | Festival de Cinema e Cultura da América Latina de Biarritz | Festival do Rio | Festival Internacional de Cine de Mar del Plata | Festival Internacional de Cinema Contemporâneo de Assunção | Festival Internacional de Cinema de Amiens | Festival Internacional de Cinema de Chicago | Festival Internacional de Cinema de Pingyao | Festival Internacional de Cinema de Punta Del Este | Festival Internacional de Cinema de Roterdã | Festival Internacional de Cinema de São Francisco | Festival Internacional de Cinema de Toronto | Festival Internacional de Marrakesh | Festival Internacional de Melbourne | Festival Internacional de Turim | Festival Internacional do Novo Cinema Latino-americano (Festival de Havana) | FICUNAM | Forumdoc.bh - Festival do Filme Documentário e Etnográfico | Hong Kong International Film Festival | INDIELISBOA - Festival Internacional de Cinema Independente | Janela Internacional do Cinema | New Directors New Films | Thessaloniki International Film Festival,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1800445100000,DIAMANTINO,diamantino,88.0,35,BAFICI | BFI - Festival de Cinema de Londres | Black Nights Film Festival | Cine Ceará | Donostia - Festival Internacional de Cinema de San Sebastián | Festival Cavalo de Ouro de Taipei (Taipei Golden Horse Film Festival) | Festival de Cannes | Festival de Cinema de Bogotá | Festival de Cinema de Varsóvia | Festival do Rio | Festival Internacional de Cinema de Cork | Festival Internacional de Cinema de Estocolmo | Festival Internacional de Cinema de Karlovy Vary | Festival Internacional de Cinema de Miami | Festival Internacional de Cinema de Morelia | Festival Internacional de Cinema de Munique (Filmfest München) | Festival Internacional de Cinema de Nova York | Festival Internacional de Cinema de Roterdã | Festival Internacional de Cinema de Toronto | Festival Internacional de Cinema de Viena | Festival Internacional de Melbourne | Festival Internacional Entrevues Belfort | FID Marseille (ex-Festival Internacional de Documentários de Marselha) | Hong Kong International Film Festival | Janela Internacional do Cinema | Jeonju Internacional Film Festival | Los Angeles AFI Fest | Mostra Internacional de Cinema de São Paulo | Mumbai International Film Festival | Palm Springs | Queer Lisboa - Festival Internacional de Cinema Queer | Sarajevo Film Festival | Sitges - Festival Internacional de Cinema Fantástico da Catalunha | Thessaloniki International Film Festival | Vancouver International Film Festival,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1800293900000,AS HERDEIRAS,as herdeiras,83.0,21,Athens International Film Festival | Donostia - Festival Internacional de Cinema de San Sebastián | Festival de Cinema de Cartagena | Festival de Cinema de Istambul | Festival de Cinema Ibero-americano de Huelva | Festival de Gramado | Festival de Nouveau Cinema | Festival Internacional de Cinema de Berlim | Festival Internacional de Cinema de Edimburgo | Festival Internacional de Cinema de Estocolmo | Festival Internacional de Cinema de Moscou | Festival Internacional de Viña del Mar | Festival Internacional do Novo Cinema Latino-americano (Festival de Havana) | Frameline - Festival Internacional de Cinema LGBT de São Francisco | Jeonju Internacional Film Festival | Molodist - Festival Internacional de Cinema de Kiev | Mumbai International Film Festival | SFF - Sydney Film Festival | SIFF - Seattle International Film Festival | Transilvania International Film Festival | Vancouver International Film Festival,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1700450500000,AS BOAS MANEIRAS,as boas maneiras,82.5,31,Athens International Film Festival | BAFICI | BFI - Festival de Cinema de Londres | Chicago Latino Film Festival | Festival de Cinema Brésilien de Paris | Festival de Cinema de Cartagena | Festival de Cinema de Istambul | Festival de Cinema de Locarno | Festival de Cinema e Cultura da América Latina de Biarritz | Festival do Rio | Festival Internacional de Cinema de Busan | Festival Internacional de Cinema de Karlovy Vary | Festival Internacional de Cinema de Munique (Filmfest München) | Festival Internacional de Cinema de Roterdã | Festival Internacional de Cinema do Uruguai | Festival Internacional de Melbourne | Festival Internacional do Novo Cinema Latino-americano (Festival de Havana) | Festival Trois Continents (Nantes) | FICUNAM | IFFK - International Film Festival of Kerala | INDIELISBOA - Festival Internacional de Cinema Independente | Janela Internacional do Cinema | KIFF - Kolkata International Film Festival | Los Angeles AFI Fest | Mostra Internacional de Cinema de São Paulo | New Directors New Films | Palm Springs | Sarajevo Film Festival | SIFF - Seattle International Film Festival | Sitges - Festival Internacional de Cinema Fantástico da Catalunha | Vancouver International Film Festival,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1900232600000,BACURAU,bacurau,77.5,26,Academia Brasileira de Cinema [Grande Prêmio do Cinema Brasileiro] | Athens International Film Festival | BFI - Festival de Cinema de Londres | Festival Cavalo de Ouro de Taipei (Taipei Golden Horse Film Festival) | Festival de Cannes | Festival de Cinema de Bogotá | Festival de Gramado | Festival de Nouveau Cinema | Festival du Film Brésilien de Montreal | Festival Internacional de Cinema de Morelia | Festival Internacional de Cinema de Munique (Filmfest München) | Festival Internacional de Cinema de Nova York | Festival Internacional de Cinema de Roterdã | Festival Internacional de Cinema de Toronto | Festival Internacional de Cinema de Viena | Festival Internacional de Melbourne | Festival Internacional do Novo Cinema Latino-americano (Festival de Havana) | IFFI - Festival Internacional de cinema da Índia (Goa) | Jeonju Internacional Film Festival | KIFF - Kolkata International Film Festival | Los Angeles AFI Fest | Palm Springs | Sarajevo Film Festival | SFF - Sydney Film Festival | SIFF - Seattle International Film Festival | Sitges - Festival Internacional de Cinema Fantástico da Catalunha,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1700085300000,ARÁBIA,arabia,74.5,31,BAFICI | BFI - Festival de Cinema de Londres | Donostia - Festival Internacional de Cinema de San Sebastián | Encontros de Cinema da Amércia Latina de Toulouse | Festival de Brasília | Festival de Cinema Brésilien de Paris | Festival de Cinema de Cartagena | Festival de Cinema e Cultura da América Latina de Biarritz | Festival de Nouveau Cinema | Festival do Rio | Festival Internacional de Cinema Contemporâneo de Assunção | Festival Internacional de Cinema de Karlovy Vary | Festival Internacional de Cinema de Roterdã | Festival Internacional de Cinema de Viena | Festival Internacional de Cinema do Cairo | Festival Internacional de Cinema do Uruguai | Festival Internacional do Novo Cinema Latino-americano (Festival de Havana) | Festival Internacional Entrevues Belfort | Festival Trois Continents (Nantes) | FID Marseille (ex-Festival Internacional de Documentários de Marselha) | FIFF - Festival Internacional de Films de Fribourg | Film Festival Ghent | Forumdoc.bh - Festival do Filme Documentário e Etnográfico | INDIELISBOA - Festival Internacional de Cinema Independente | Janela Internacional do Cinema | Mostra de Cinema de Tiradentes (Minas Gerais) | Mostra Internacional de Cinema de São Paulo | New Directors New Films | Panorama Internacional Coisa de Cinema | Semana de Cinema | Thessaloniki International Film Festival,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B2100427500000,NOITE DE FOGO,noite de fogo,68.0,24,Academia Brasileira de Cinema [Grande Prêmio do Cinema Brasileiro] | Academia de las Artes y las Ciencias Cinematograficas de España [GOYA] | Athens International Film Festival | BFI - Festival de Cinema de Londres | Donostia - Festival Internacional de Cinema de San Sebastián | Festival Cavalo de Ouro de Taipei (Taipei Golden Horse Film Festival) | Festival de Cannes | Festival Internacional de Cinema de Busan | Festival Internacional de Cinema de Chicago | Festival Internacional de Cinema de Estocolmo | Festival Internacional de Cinema de Karlovy Vary | Festival Internacional de Cinema de Nova York | Festival Internacional de Cinema de Pingyao | Festival Internacional de Cinema de Roterdã | Festival Internacional de Cinema de Viena | Festival Internacional de Melbourne | Festival Internacional de Viña del Mar | Festival Internacional do Novo Cinema Latino-americano (Festival de Havana) | IFFK - International Film Festival of Kerala | KIFF - Kolkata International Film Festival | Los Angeles AFI Fest | Palm Springs | Sarajevo Film Festival | Zurich Film Festival,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1900029000000,TITO E OS PÁSSAROS,tito e os passaros,65.5,23,Academia Brasileira de Cinema [Grande Prêmio do Cinema Brasileiro] | Anima Mundi | Athens International Film Festival | Chicago Children - Festival de Cinema Infantil de Chicago | CINANIMA | Cine Ceará | Encontros de Cinema da Amércia Latina de Toulouse | Festival de Cinema Brésilien de Paris | Festival de Cinema de Roma | Festival de Cinema de Varsóvia | Festival de Cinema e Cultura da América Latina de Biarritz | Festival de Gramado | Festival Internacional de Animação - Annecy | Festival Internacional de Cine de Mar del Plata | Festival Internacional de Cinema de Estocolmo | Festival Internacional de Cinema de Guadalajara | Festival Internacional de Cinema de Toronto | Festival Internacional do Novo Cinema Latino-americano (Festival de Havana) | Festival Trois Continents (Nantes) | LUCAS Internationales KinderFilmFestival | SFF - Sydney Film Festival | SIFF - Seattle International Film Festival | Sitges - Festival Internacional de Cinema Fantástico da Catalunha,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1800445500000,LOS SILENCIOS,los silencios,64.0,17,Academia Brasileira de Cinema [Grande Prêmio do Cinema Brasileiro] | Cine Ceará | Donostia - Festival Internacional de Cinema de San Sebastián | Encontros de Cinema da Amércia Latina de Toulouse | Festival de Brasília | Festival de Cannes | Festival de Cinema de Cartagena | Festival de Cinema e Cultura da América Latina de Biarritz | Festival de Nouveau Cinema | Festival do Rio | Festival Internacional de Cinema de Estocolmo | Festival Internacional de Cinema de Pingyao | Festival Internacional de Melbourne | Festival Internacional do Novo Cinema Latino-americano (Festival de Havana) | IFFI - Festival Internacional de cinema da Índia (Goa) | IFFK - International Film Festival of Kerala | Mostra Internacional de Cinema de São Paulo,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1800132900000,TINTA BRUTA,tinta bruta,59.5,25,Athens International Film Festival | Cine Ceará | Cine Esquema Novo - Festival de Cinema de Porto Alegre | Festival de Cinema Brésilien de Paris | Festival de Cinema LGBTIQ+ de Londres - BFI Flare | Festival do Rio | Festival Internacional de Cinema de Berlim | Festival Internacional de Cinema de Chicago | Festival Internacional de Cinema de Estocolmo | Festival Internacional de Cinema de Guadalajara | Festival Internacional de Cinema de Moscou | Festival Internacional de Melbourne | Festival Internacional do Novo Cinema Latino-americano (Festival de Havana) | Festival Mix Brasil de Cultura da Diversidade | Frameline - Festival Internacional de Cinema LGBT de São Francisco | Molodist - Festival Internacional de Cinema de Kiev | Mostra Internacional de Cinema de São Paulo | NewFest - Festival de Cinema e Mídias LGBTQ+ | Palm Springs | Panorama Internacional Coisa de Cinema | Queer Lisboa - Festival Internacional de Cinema Queer | SFF - Sydney Film Festival | SIFF - Seattle International Film Festival | Transilvania International Film Festival | Vancouver Queer Film Festival,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
