CPB,IMDB_TCONST,IMDB_GENRES,IMDB_RUNTIME,IMDB_RATING,IMDB_VOTES
B0400102700000,tt0112381,Drama,91.0,6.1,159.0
B0400059500000,tt0118674,"Drama,Western",93.0,7.3,553.0
B0600547500000,tt0189415,"Crime,Drama",85.0,5.8,40.0
B0500298800000,tt0113466,Drama,100.0,6.1,125.0
B0500444400000,tt0117418,"Biography,Drama",116.0,6.7,425.0
B0500263900000,tt0117910,"Comedy,Drama,Romance",140.0,6.5,1146.0
B0400052500000,tt0139075,"Biography,Drama",85.0,6.7,88.0
B0500313900000,tt0288464,Action,104.0,5.0,40.0
B0500403400000,tt0137546,"Comedy,Romance,War",95.0,6.3,270.0
B0500262300000,tt0268337,Drama,100.0,6.6,18.0
B0500321300000,tt0243393,Drama,100.0,5.7,20.0
B1101390800000,tt0158789,Drama,82.0,6.3,82.0
B0800842700000,tt0118815,"Action,Drama",120.0,6.6,95.0
B0500311300000,tt0138364,"Biography,Documentary",87.0,7.3,45.0
B0600508700000,tt0239770,Drama,91.0,6.5,72.0
B0500261200000,tt0222715,Drama,100.0,7.4,136.0
B0600520300000,tt0144085,"Adventure,Drama,War",107.0,7.0,184.0
B0400055300000,tt0222760,Drama,110.0,6.5,151.0
B0500286200000,tt0174481,Drama,76.0,7.2,435.0
B0300023600000,tt0235208,"Documentary,Music",102.0,7.0,30.0
B0600556000000,tt0121118,"Comedy,Sport",93.0,7.3,562.0
B0700724300000,tt0173651,"Drama,Romance",103.0,6.9,99.0
B0500311600000,tt0189509,Drama,95.0,5.4,192.0
B0500242600000,tt0237456,Family,85.0,5.1,319.0
B0800853700000,tt0280422,Romance,85.0,5.4,13.0
B0800834800000,tt0197049,"Drama,Fantasy",120.0,7.0,119.0
B0800854000000,tt0140656,"Adventure,Family",93.0,4.3,121.0
B0600534900000,tt0237004,Drama,82.0,6.0,130.0
B0500304300000,tt0144940,Documentary,91.0,8.1,53.0
B0500363900000,tt0235449,"Drama,Horror,Romance",75.0,7.0,577.0
B0600561200000,tt0166635,"Biography,Drama,History",92.0,6.6,405.0
B0800822000000,tt0183613,"Crime,Drama,Music",110.0,5.6,997.0
B0500307600000,tt0166851,Drama,104.0,7.1,293.0
B0500336400000,tt0228964,"Comedy,Family",80.0,3.4,403.0
B0600450400000,tt0217109,Drama,109.0,6.5,130.0
B0600460600000,tt0192743,Drama,100.0,6.7,227.0
