NIVEL,GRUPO,N_OBRAS_TOTAL,N_COM_NOTA,PCT_COBERTURA,PRIOR_GLOBAL,C_USADO,MEDIA_BRUTA,MEDIA_AJUSTADA,DESVIO_PADRAO,MIN_SCORE,MAX_SCORE,LOW_N_FLAG,FONTES_DIST
Chamada,ARRANJOS REGIONAIS,228,113,0.4956,3.8123,10,3.8872,3.8811,0.4275,2.4,4.6,False,"{""adoro_usuario"": 105, ""adoro_critico"": 55}"
Chamada,CINEMA NOVOS REALIZADORES,1,1,1.0,3.8123,10,3.863,3.8169,,3.863,3.863,True,"{""adoro_critico"": 1}"
Chamada,COMERCIALIZAÇÃO - OPÇÃO DE INVESTIMENTO EM COMERCIALIZAÇÃO,7,5,0.7143,3.8123,10,3.7392,3.7879,0.4783,3.195,4.3,False,"{""adoro_critico"": 4, ""adoro_usuario"": 3}"
Chamada,COMERCIALIZAÇÃO EM CINEMA,9,3,0.3333,3.8123,10,3.619,3.7677,0.2872,3.3,3.857,False,"{""adoro_usuario"": 3, ""adoro_critico"": 1}"
Chamada,COMPLEMENTAÇÃO,4,3,0.75,3.8123,10,3.79,3.8071,0.7739,2.9,4.305,False,"{""adoro_usuario"": 3, ""adoro_critico"": 2}"
Chamada,CONCURSO PRODUÇÃO PARA CINEMA,11,9,0.8182,3.8123,10,3.6369,3.7292,0.9133,1.7,4.3,False,"{""adoro_critico"": 5, ""adoro_usuario"": 8}"
Chamada,COPRODUÇÃO INTERNACIONAL,3,2,0.6667,3.8123,10,4.2,3.8769,0.1414,4.1,4.3,False,"{""adoro_usuario"": 2}"
Chamada,COPRODUÇÃO INTERNACIONAL CINEMA,1,0,0.0,3.8123,10,,,,,,True,{}
Chamada,FLUXO CONTÍNUO PRODUÇÃO PARA CINEMA,22,16,0.7273,3.8123,10,3.7615,3.781,0.5537,2.4,4.7,False,"{""adoro_critico"": 12, ""adoro_usuario"": 11}"
Chamada,FLUXO CONTÍNUO PRODUÇÃO PARA CINEMA - VIA DISTRIBUIDORA,8,6,0.75,3.8123,10,3.832,3.8197,0.226,3.63,4.259,False,"{""adoro_critico"": 6, ""adoro_usuario"": 5}"
Chamada,FLUXO CONTÍNUO PRODUÇÃO PARA TELEVISÃO,29,16,0.5517,3.8123,10,4.0364,3.9502,0.3532,3.088,4.343,False,"{""adoro_critico"": 12, ""adoro_usuario"": 15}"
Chamada,PRODAV - TVS PÚBLICAS,11,4,0.3636,3.8123,10,3.5042,3.7243,0.8849,2.19,4.035,False,"{""adoro_critico"": 4, ""adoro_usuario"": 3}"
