DIRETOR,DIRETOR_NORM,FILME,ANO_FILME,CPB,FESTIVAL,FESTIVAL_NIVEL,SECAO,SECAO_TIPO,TIPO_FILME,PREMIO,FONTE
ADIRLEY QUEIROS DE ANDRADE,adirley queiros de andrade,MATO SECO EM CHAMAS,2020,B2000076800000,Cannes,ESPECIAL,Competição/Seleção Oficial,competicao_principal,longa,,corpus_tabela
ADIRLEY QUEIROS DE ANDRADE,adirley queiros de andrade,MATO SECO EM CHAMAS,2020,B2000076800000,Locarno,AA,Competição/Seleção Oficial,competicao_principal,longa,,corpus_tabela
ADIRLEY QUEIROS DE ANDRADE,adirley queiros de andrade,MATO SECO EM CHAMAS,2020,B2000076800000,Outros Intl,A+,Seleção,selecao,longa,,corpus_tabela
ADONIAS RIOS DE MOURA TEIXEIRA,adonias rios de moura teixeira,MEU TIO JOSÉ,2020,B2000335200000,Annecy,AA,Competição/Seleção Oficial,competicao_principal,longa,,corpus_tabela
ADRIAN CAETANO,adrian caetano,PACTO DE SANGUE,2016,B1800353500000,TIFF,AA,Competição/Seleção Oficial,competicao_principal,longa,,corpus_tabela
ALEXANDRE CESARIO DE ABREU,alexandre cesario de abreu,O MENINO E O MUNDO,2013,B1301989000000,Oscar,ESPECIAL,Competição Principal,competicao_principal,longa,,corpus_tabela
ALEXANDRE CESARIO DE ABREU,alexandre cesario de abreu,O MENINO E O MUNDO,2013,B1301989000000,Annecy,AA,Competição/Seleção Oficial,competicao_principal,longa,,corpus_tabela
ALEXANDRE CESARIO DE ABREU,alexandre cesario de abreu,O MENINO E O MUNDO,2013,B1301989000000,Outros Intl,A+,Seleção,selecao,longa,,corpus_tabela
Aly Muritiba,aly muritiba,Deserto Particular,2021,,Oscar,ESPECIAL,Competição/Seleção Oficial,competicao_principal,longa,International Submission to the Academy Awards,wikidata_premio
ALYSSON SILVA MURITIBA,alysson silva muritiba,PARA MINHA AMADA MORTA,2014,B1500177200000,Sundance,AA,Competição/Seleção Oficial,competicao_principal,longa,,corpus_tabela
ALYSSON SILVA MURITIBA,alysson silva muritiba,DESERTO PARTICULAR,2021,B2100408300000,San Sebastian,AA,Competição/Seleção Oficial,competicao_principal,longa,,corpus_tabela
ALYSSON SILVA MURITIBA,alysson silva muritiba,DESERTO PARTICULAR,2021,B2100408300000,Outros Intl,A+,Seleção,selecao,longa,,corpus_tabela
ANA CAROLINA PIZA ALVES DE SOUZA,ana carolina piza alves de souza,MEU NOME É BAGDÁ,2020,B2000542500000,Sundance,AA,Competição/Seleção Oficial,competicao_principal,longa,,corpus_tabela
ANA CAROLINA PIZA ALVES DE SOUZA,ana carolina piza alves de souza,MEU NOME É BAGDÁ,2020,B2000542500000,Locarno,AA,Competição/Seleção Oficial,competicao_principal,longa,,corpus_tabela
ANA CAROLINA PIZA ALVES DE SOUZA,ana carolina piza alves de souza,MEU NOME É BAGDÁ,2020,B2000542500000,Outros Intl,A+,Seleção,selecao,longa,,corpus_tabela
ANA LUIZA MACHADO DA SILVA MUYLAERT,ana luiza machado da silva muylaert,QUE HORAS ELA VOLTA?,2015,B1500585100000,Berlim,ESPECIAL,Competição/Seleção Oficial,competicao_principal,longa,,corpus_tabela
ANA LUIZA MACHADO DA SILVA MUYLAERT,ana luiza machado da silva muylaert,QUE HORAS ELA VOLTA?,2015,B1500585100000,Sundance,AA,Competição/Seleção Oficial,competicao_principal,longa,,corpus_tabela
ANA LUIZA MACHADO DA SILVA MUYLAERT,ana luiza machado da silva muylaert,QUE HORAS ELA VOLTA?,2015,B1500585100000,Outros Intl,A+,Seleção,selecao,longa,,corpus_tabela
André Barcinski,andre barcinski,Damned – The Strange World of José Mojica Marins,2001,,Sundance,AA,Competição/Seleção Oficial,competicao_principal,longa,Sundance Special Jury Prize Latin American Cinema,wikidata_premio
ANDRE CATOTO DIAS,andre catoto dias,TITO E OS PÁSSAROS,2018,B1900029000000,Annecy,AA,Competição/Seleção Oficial,competicao_principal,longa,,corpus_tabela
ANDREA LEVY BARRETO,andrea levy barreto,QUEBRANDO O TABU,2018,B1800332500000,Sundance,AA,Competição/Seleção Oficial,competicao_principal,longa,,corpus_tabela
Andrés Wood,andres wood,Violeta foi para o Céu,2011,,Oscar,ESPECIAL,Competição/Seleção Oficial,competicao_principal,longa,International Submission to the Academy Awards,wikidata_premio
Andrés Wood,andres wood,Violeta foi para o Céu,2011,,Sundance,AA,World Cinema,secao_internacional,longa,Sundance Film Festival World Cinema Dramatic Grand Jury Prize,wikidata_premio
Andrucha Waddington,andrucha waddington,Eu Tu Eles,2000,,Karlovy Vary,AA,Competição/Seleção Oficial,competicao_principal,longa,Crystal Globe,wikidata_premio
Andrucha Waddington,andrucha waddington,Eu Tu Eles,2000,,Oscar,ESPECIAL,Competição/Seleção Oficial,competicao_principal,longa,International Submission to the Academy Awards,wikidata_premio
ANITA DE SOUZA ROCHA MAGALHAES DA SILVEIRA,anita de souza rocha magalhaes da silveira,MEDUSA,2022,B2200442800000,Locarno,AA,Competição/Seleção Oficial,competicao_principal,longa,,corpus_tabela
ANITA DE SOUZA ROCHA MAGALHAES DA SILVEIRA,anita de souza rocha magalhaes da silveira,MEDUSA,2022,B2200442800000,Outros Intl,A+,Seleção,selecao,longa,,corpus_tabela
Anna Muylaert,anna muylaert,Que Horas Ela Volta?,2015,,Sundance,AA,World Cinema,secao_internacional,longa,Sundance Film Festival World Cinema Dramatic Special Jury Award,wikidata_premio
Anna Muylaert,anna muylaert,Que Horas Ela Volta?,2015,,Oscar,ESPECIAL,Competição/Seleção Oficial,competicao_principal,longa,International Submission to the Academy Awards,wikidata_premio
Anselmo Duarte,anselmo duarte,O Pagador de Promessas,1962,B0500384200000,Oscar,ESPECIAL,Competição/Seleção Oficial,competicao_principal,longa,International Submission to the Academy Awards,wikidata_premio
Ariel Kuaray Ortega,ariel kuaray ortega,Canuto's Transformation,,,IDFA,AA,Documentários,competicao_documentario,documentario,International Documentary Film Festival Amsterdam,wikidata_premio
Ary Rosa,ary rosa,Café com Canela,2017,,Rotterdam,AA,Competição/Seleção Oficial,competicao_principal,longa,IFFR audience award,wikidata_premio
Ary Rosa,ary rosa,Ilha,2018,,Rotterdam,AA,Competição/Seleção Oficial,competicao_principal,longa,IFFR audience award,wikidata_premio
Bárbara Paz,barbara paz,Babenco - Alguém tem que ouvir o coração e dizer: Parou,2019,,Oscar,ESPECIAL,Competição/Seleção Oficial,competicao_principal,longa,International Submission to the Academy Awards,wikidata_premio
BARBARA RAQUEL PAZ,barbara raquel paz,BABENCO - ALGUÉM TEM QUE OUVIR O CORAÇÃO E DIZER: PAROU,2019,B2000006500000,Veneza,ESPECIAL,Competição/Seleção Oficial,competicao_principal,longa,,corpus_tabela
BARBARA RAQUEL PAZ,barbara raquel paz,BABENCO - ALGUÉM TEM QUE OUVIR O CORAÇÃO E DIZER: PAROU,2019,B2000006500000,TIFF,AA,Competição/Seleção Oficial,competicao_principal,longa,,corpus_tabela
Benjamín Ávila,benjamin avila,Infância Clandestina,2011,B1201674600000,Oscar,ESPECIAL,Competição/Seleção Oficial,competicao_principal,longa,International Submission to the Academy Awards,wikidata_premio
Beto Brant,beto brant,O Invasor,2002,,Sundance,AA,Competição/Seleção Oficial,competicao_principal,longa,Sundance Jury Prize Latin American Cinema,wikidata_premio
Breno Silveira,breno silveira,2 Filhos de Francisco,2005,,Oscar,ESPECIAL,Competição/Seleção Oficial,competicao_principal,longa,International Submission to the Academy Awards,wikidata_premio
Bruno Barreto,bruno barreto,Romance da Empregada,1988,,Oscar,ESPECIAL,Competição/Seleção Oficial,competicao_principal,longa,International Submission to the Academy Awards,wikidata_premio
Bruno Barreto,bruno barreto,"O Que É Isso, Companheiro?",1997,,Oscar,ESPECIAL,Competição/Seleção Oficial,competicao_principal,longa,International Submission to the Academy Awards,wikidata_premio
Bruno Barreto,bruno barreto,Última Parada 174,2008,,Oscar,ESPECIAL,Competição/Seleção Oficial,competicao_principal,longa,International Submission to the Academy Awards,wikidata_premio
Cacá Diegues,caca diegues,Xica da Silva,1976,,Oscar,ESPECIAL,Competição/Seleção Oficial,competicao_principal,longa,International Submission to the Academy Awards,wikidata_premio
Cacá Diegues,caca diegues,Bye Bye Brasil,1979,,Oscar,ESPECIAL,Competição/Seleção Oficial,competicao_principal,longa,International Submission to the Academy Awards,wikidata_premio
