DIRETOR,DIRETOR_NORM,N_PARTICIPACOES_TOTAL,N_FESTIVAIS_ESPECIAL,N_FESTIVAIS_AA,N_COMPETICAO_PRINCIPAL,N_SECAO_PARALELA,N_PREMIOS,TEM_CURTA_FESTIVAL,TEM_LONGA_FESTIVAL,MELHOR_NIVEL,PRIMEIRO_FESTIVAL_ANO,ULTIMO_FESTIVAL_ANO,FESTIVAIS_LISTA,N_FESTIVAIS_DISTINTOS,N_CANNES,N_BERLIM,N_VENEZA,N_OSCAR,N_SUNDANCE,N_ROTTERDAM,N_TIFF,N_LOCARNO,N_SAN_SEBASTIAN,N_IDFA,N_ANNECY,N_KARLOVY_VARY
KLEBER DE MENDONCA VASCONCELLOS FILHO,kleber de mendonca vasconcellos filho,10,3,3,6,0,0,False,True,ESPECIAL,2012,2023,Cannes | Locarno | Outros Intl | Rotterdam | TIFF,5,3,0,0,0,0,1,1,1,0,0,0,0
Cacá Diegues,caca diegues,7,7,0,7,0,7,False,True,ESPECIAL,1976,2018,Oscar,1,0,0,0,7,0,0,0,0,0,0,0,0
Walter Salles,walter salles,6,5,1,6,0,6,False,True,ESPECIAL,1991,2024,Cannes | Oscar | San Sebastian | Veneza,4,1,0,1,3,0,0,0,0,1,0,0,0
Karim Aïnouz,karim ainouz,5,3,0,3,0,1,False,True,ESPECIAL,2001,2019,Cannes | Oscar | Outros Intl,3,2,0,0,1,0,0,0,0,0,0,0,0
FERNANDO FERREIRA MEIRELLES,fernando ferreira meirelles,5,3,1,4,0,0,False,True,ESPECIAL,2002,2008,Cannes | Oscar | Outros Intl | TIFF,4,2,0,0,1,0,0,1,0,0,0,0,0
GUSTAVO PASSOS PIZZI,gustavo passos pizzi,5,1,3,4,0,0,False,True,ESPECIAL,2018,2018,Berlim | Outros Intl | San Sebastian | Sundance | TIFF,5,0,1,0,0,1,0,1,0,1,0,0,0
SUSAN KATE LUND,susan kate lund,4,2,1,3,0,0,False,True,ESPECIAL,2002,2002,Cannes | Oscar | Outros Intl | TIFF,4,1,0,0,1,0,0,1,0,0,0,0,0
Marcelo Gomes,marcelo gomes,4,3,0,2,0,2,False,True,ESPECIAL,2005,2009,Berlim | Cannes | Oscar | Outros Intl,4,1,1,0,1,0,0,0,0,0,0,0,0
GABRIEL MASCARO SEABRA DE MELO,gabriel mascaro seabra de melo,4,2,1,3,0,0,False,True,ESPECIAL,2015,2019,Berlim | Outros Intl | Sundance | Veneza,4,0,1,1,0,1,0,0,0,0,0,0,0
GABRIEL MARTINS ALVES,gabriel martins alves,4,1,2,3,0,0,False,True,ESPECIAL,2020,2020,Berlim | Outros Intl | Sundance | TIFF,4,0,1,0,0,1,0,1,0,0,0,0,0
Nelson Pereira dos Santos,nelson pereira dos santos,4,4,0,4,0,4,False,True,ESPECIAL,1971,1984,Oscar,1,0,0,0,4,0,0,0,0,0,0,0,0
LUIZ FERNANDO CARVALHO DE ALMEIDA,luiz fernando carvalho de almeida,3,1,0,1,0,0,False,True,ESPECIAL,2001,2020,Cannes | Outros Intl,2,1,0,0,0,0,0,0,0,0,0,0,0
