DIRETOR,DIRETOR_NORM,ANO_MAIS_RECENTE,N_FILMES,WIKIDATA_ID,PRESTIGIO_FESTIV,PRESTIGIO_FILMES,CITA_N_PAPERS,CITA_SOMA_CIT,CITA_MAX_CIT,CITA_VENUES
BETO BRANT E RENATO CIASCA,beto brant e renato ciasca,2005,1,Q9655961,Sundance,O Invasor,40.0,123.0,42.0,LA Referencia (Red Federada de Repositorios Institucionales de Publicaciones Científicas) | CentAUR (University of Reading) | Revista Contracampo
ANSELMO DUARTE,anselmo duarte,2013,8,Q569649,Oscar,O Pagador de Promessas,29.0,54.0,9.0,Significação Revista de Cultura Audiovisual | Medical Entomology and Zoology | História Questões & Debates
BRUNO GULARTE BARRETO,bruno gularte barreto,2020,4,Q82275,Oscar,"O Que É Isso, Companheiro? | Romance da Empregada | Última Parada 174",38.0,49.0,17.0,LA Referencia (Red Federada de Repositorios Institucionales de Publicaciones Científicas) | SHILAP Revista de lepidopterología | Social Text
ANDRUCHA WADDINGTON E BRENO SILVEIRA,andrucha waddington e breno silveira,2005,1,Q4759560,Karlovy_Vary/Oscar,Eu Tu Eles,36.0,41.0,17.0,"LA Referencia (Red Federada de Repositorios Institucionales de Publicaciones Científicas) | Portuguese National Funding Agency for Science, Research and Technology (RCAAP Project by FCT) | Rebeca - Revista Brasileira de Estudos de Cinema e Audiovisual"
ERNESTO IGNACIO DE CARVALHO,ernesto ignacio de carvalho,2024,3,Q123563023,IDFA,Canuto's Transformation,25.0,33.0,18.0,Rebeca - Revista Brasileira de Estudos de Cinema e Audiovisual | Revista de Estudos Anglo-Portugueses/Journal of Anglo-Portuguese Studies | Revista Brasileira de Estudos da Presença
DANIEL SCHMIDT,daniel schmidt,2018,1,Q86495545,Rotterdam,Diamantino,7.0,32.0,21.0,Physical Review Materials | Advanced Materials | KOPS (University of Konstanz)
BRENO DA SILVEIRA SOUZA,breno da silveira souza,2023,1,Q16336962,Oscar,2 Filhos de Francisco,34.0,24.0,6.0,LA Referencia (Red Federada de Repositorios Institucionales de Publicaciones Científicas) | Alphaville Journal of Film and Screen Media | Dialnet (Universidad de la Rioja)
CAO HAMBURGER,cao hamburger,2006,2,Q1034094,Oscar,O Ano em que Meus Pais Saíram de Férias,25.0,19.0,8.0,LA Referencia (Red Federada de Repositorios Institucionales de Publicaciones Científicas) | Alphaville Journal of Film and Screen Media | Journal of Modern Jewish Studies
ARY ROSA DUARTE,ary rosa duarte,2025,7,Q61641231,Rotterdam,Café com Canela | Ilha,36.0,14.0,5.0,Rebeca - Revista Brasileira de Estudos de Cinema e Audiovisual | LA Referencia (Red Federada de Repositorios Institucionales de Publicaciones Científicas) | AVANCA | CINEMA
CARLOS COIMBRA,carlos coimbra,2013,12,Q5041944,Oscar,A Morte Comanda o Cangaço,35.0,13.0,3.0,LA Referencia (Red Federada de Repositorios Institucionales de Publicaciones Científicas) | Varia Historia | Em Tempo de Histórias
CACÃ DIEGUES,caca diegues,2006,1,Q961416,Oscar,Bye Bye Brasil | Dias Melhores Virão | O Grande Circo Místico | Orfeu | Tieta do Agreste,22.0,7.0,2.0,Alceu | EDUCA - Revista Multidisciplinar em Educação | Estudos Históricos (Rio de Janeiro)
DANIEL MARQUES REZENDE PEREIRA,daniel marques rezende pereira,2025,10,Q1162308,Oscar,Bingo: O Rei das Manhãs,20.0,4.0,2.0,Rebeca - Revista Brasileira de Estudos de Cinema e Audiovisual | Zenodo (CERN European Organization for Nuclear Research) | Resgate Revista Interdisciplinar de Cultura
DAVID RIBEIRO SCHURMANN,david ribeiro schurmann,2025,12,Q16215088,Oscar,Pequeno Segredo,3.0,2.0,2.0,Anuario electrónico de estudios en Comunicación Social Disertaciones | Anagrama
FABIO VILLELA BARRETO BORGES,fabio villela barreto borges,2024,3,Q1790984,Oscar,"Lula, o Filho do Brasil | O Quatrilho",4.0,1.0,1.0,Nuevo mundo mundos nuevos | The American Historical Review | LA Referencia (Red Federada de Repositorios Institucionales de Publicaciones Científicas)
ANDRES WOOD,andres wood,2021,1,Q524935,Oscar/Sundance,Violeta foi para o Céu,7.0,0.0,0.0,Dialnet (Universidad de la Rioja) | Conexión | Anos 90
DANIEL DRUMOND RIBEIRO,daniel drumond ribeiro,2025,1,Q5218576,Oscar,Hoje Eu Quero Voltar Sozinho,7.0,0.0,0.0,LÍBERO. ISSN impresso: 1517-3283 / ISSN online: 2525-3166 | Palgrave studies in adaptation and visual culture | Scientific Repository of Open Access of Portugal (RCAAP)
CAETANO GOTARDO SOARES,caetano gotardo soares,2020,10,Q61641235,Rotterdam,Your Bones and Your Eyes,12.0,0.0,0.0,Rebeca - Revista Brasileira de Estudos de Cinema e Audiovisual | Logos | Brasiliana- Journal for Brazilian Studies
FELLIPE GAMARANO BARBOSA,fellipe gamarano barbosa,2025,13,Q10281049,Rotterdam,Gabriel e a Montanha,4.0,0.0,0.0,Brasiliana- Journal for Brazilian Studies | LA Referencia (Red Federada de Repositorios Institucionales de Publicaciones Científicas)
ANTONIO MIGUEL GONÃALVES MENDES,antonio miguel gona alves mendes,2013,2,Q1932638,Oscar,José e Pilar,0.0,,,
BARBARA RAQUEL PAZ,barbara raquel paz,2024,5,Q9299826,Oscar,Babenco - Alguém tem que ouvir o coração e dizer: Parou,0.0,,,
ELIZA RIBEIRO CAPAI,eliza ribeiro capai,2024,9,Q61754027,Berlim,Espero tua (Re)volta,0.0,,,
FERNANDO FERREIRA MEIRELLES,fernando ferreira meirelles,2017,16,Q343293,Oscar,Cidade de Deus,,,,
GABRIEL ABRANTES,gabriel abrantes,2018,1,Q19955958,Rotterdam,Diamantino,,,,
GABRIEL MARTINS ALVES,gabriel martins alves,2025,18,Q61641244,Rotterdam,No Coração do Mundo,,,,
GABRIEL MASCARO SEABRA DE MELO,gabriel mascaro seabra de melo,2025,13,Q21063815,Rotterdam,Boi Neon,,,,
GLAUBER ROCHA,glauber rocha,2008,14,Q55426,Locarno/Oscar,Deus e o Diabo na Terra do Sol | O Dragão da Maldade contra o Santo Guerreiro | Terra em Transe,,,,
GLENDA NICACIO,glenda nicacio,2025,9,Q61641245,Rotterdam,Café com Canela | Ilha,,,,
GUSTAVO PIZZI,gustavo pizzi,2011,3,Q112552640,Rotterdam,Benzinho,,,,
HANS BLOCK,hans block,2018,1,Q52554723,Rotterdam,The Cleaners,,,,
HECTOR EDUARDO BABENCO,hector eduardo babenco,2016,9,Q538608,Oscar,"Carandiru | Pixote, a Lei do Mais Fraco",,,,
JAYME MONJARDIM MATARAZZO,jayme monjardim matarazzo,2023,50,Q594771,Oscar,Olga,,,,
JOEL ZITO ARAUJO,joel zito araujo,2007,1,Q3180271,Rotterdam,My Friend Fela,,,,
JOSE CARLOS PADILHA,jose carlos padilha,2014,1,Q1332810,Oscar,Tropa de Elite 2: O Inimigo Agora É Outro,,,,
JUAN ANDRES ARANGO GARCIA,juan andres arango garcia,2013,1,Q26705136,Oscar,La Playa D.C.,,,,
JULIA MURAT E ADARIO,julia murat e adario,2023,6,Q28797377,Locarno,Regra 34,,,,
JULIANA DE ARAUJO ROJAS,juliana de araujo rojas,2024,13,Q18280611,Rotterdam,As Boas Maneiras,,,,
KARIM AINOUZ,karim ainouz,2024,12,Q749493,Oscar,A Vida Invisível,,,,
KATIA LUND E GUILHERME RAMALHO,katia lund e guilherme ramalho,2006,1,Q3033796,Oscar,Cidade de Deus,,,,
KLEBER DE MENDONCA VASCONCELLOS FILHO,kleber de mendonca vasconcellos filho,2025,12,Q14940022,Cannes/Oscar,O Agente Secreto | O Som ao Redor | Retratos Fantasmas,,,,
LEON HIRSZMAN,leon hirszman,2010,13,Q3229637,Veneza,Eles não Usam Black-tie,,,,
LUCY WALKER,lucy walker,2010,1,Q453494,Oscar/Sundance,Lixo Extraordinário,,,,
LUIZ ROBERTO BOLOGNESI,luiz roberto bolognesi,2022,10,Q6701395,Annecy,Uma História de Amor e Fúria,,,,
MARCELO GOMES,marcelo gomes,2014,15,Q6756559,Berlim/Oscar,"Cinema, Aspirinas e Urubus | Estou Me Guardando para Quando o Carnaval Chegar",,,,
MARCELO MARTINESSI,marcelo martinessi,2018,1,Q5995847,Oscar,Las herederas,,,,
MARCO ANTONIO SAVINO DUTRA,marco antonio savino dutra,2024,6,Q16337866,Rotterdam,As Boas Maneiras,,,,
MARCO BELLOCCHIO,marco bellocchio,2022,1,Q53010,Oscar,The Traitor,,,,
MARINA DE SOUZA ROCHA MELIANDE,marina de souza rocha meliande,2024,8,Q61671969,Rotterdam,Mormaço,,,,
MARINA IZAURA JEHA PERSON,marina izaura jeha person,2024,9,Q6763884,Rotterdam,Califórnia,,,,
MAURILIO SEBASTIAO MARTINS,maurilio sebastiao martins,2025,4,Q61641254,Rotterdam,No Coração do Mundo,,,,
MORITZ RIESEWIECK,moritz riesewieck,2018,1,Q52554729,Rotterdam,The Cleaners,,,,
NELE WOHLATZ,nele wohlatz,2024,1,Q95210726,Berlim,Sleep With Your Eyes Open,,,,
NELSON PEREIRA DOS SANTOS,nelson pereira dos santos,2017,28,Q737762,Oscar,Como Era Gostoso o Meu Francês | Memórias do Cárcere | O Amuleto de Ogum | Tenda dos Milagres,,,,
REGINALDO FIGUEIRA DE FARIA,reginaldo figueira de faria,2012,8,Q3998074,Oscar,"Pra Quem Fica, Tchau",,,,
SANDRA WERNECK TAVARES DE SOUZA,sandra werneck tavares de souza,2025,12,Q10367583,Sundance,Amores Possíveis,,,,
SANDRO ARIEL ORTEGA,sandro ariel ortega,2024,4,Q123563046,IDFA,Canuto's Transformation,,,,
SERGIO REZENDE DANIELOWSKI,sergio rezende danielowski,2009,7,Q7666103,Oscar,Salve Geral,,,,
SERGIO RICARDO CUNHA,sergio ricardo cunha,2016,2,Q7666104,Oscar,A Noite do Espantalho,,,,
SUZANA AMARAL REZENDE,suzana amaral rezende,2009,3,Q4347551,Oscar,A Hora da Estrela,,,,
WALTER HUGO KHOURI,walter hugo khouri,2009,17,Q523315,Oscar,As Amorosas,,,,
WALTER LIMA JUNIOR,walter lima junior,2023,19,Q4017957,Oscar,A Lira do Delírio,,,,
