CPB;ANO_PRODUCAO;tem_tv_paga;tier_tv_paga;tem_vod;tem_tv_aberta;tem_dvd
B0200000400000;2002;1;3;nd;1;1
B0200001000000;2001;1;3;nd;1;0
B0200001200000;2002;1;3;nd;0;0
B0200001300000;2001;1;1;nd;1;1
B0300001600000;2001;1;1;nd;1;1
B0300002200000;2002;1;3;nd;0;0
B0300002500000;2002;1;3;nd;1;1
B0300002700000;2003;1;1;nd;1;1
B0300002800000;2002;1;1;nd;1;1
B0300002900000;2003;1;1;nd;1;1
B0300003400000;2002;1;3;nd;1;1
B0300004100000;2003;1;1;nd;1;1
B0300004300000;2003;1;3;nd;0;0
B0300004700000;2001;1;1;nd;1;1
B0300005800000;2003;1;3;nd;1;1
B0300006100000;2001;1;3;nd;1;0
B0300006200000;2003;1;3;nd;1;1
B0300007900000;2003;1;3;nd;1;0
B0300008800000;2001;1;1;nd;0;1
B0300009600000;2001;1;1;nd;1;1
B0300010000000;2002;1;1;nd;1;1
B0300011200000;2000;1;3;nd;1;1
B0300011900000;;0;;nd;0;0
B0300015600000;2003;1;2;nd;1;1
B0300019500000;2003;1;1;nd;1;1
B0300020800000;2003;1;1;nd;1;1
B0300021600000;2003;1;1;nd;1;1
B0300023400000;2003;1;3;nd;1;1
B0300023600000;1998;1;3;nd;0;0
B0300026000000;2002;1;3;nd;1;1
B0300029600000;2002;1;3;nd;1;1
B0300029800000;2002;1;2;nd;1;0
B0300034800000;2003;1;1;nd;1;1
B0300039900000;2003;1;3;nd;0;1
B0300040100000;2002;1;3;nd;1;0
B0300040300000;2003;1;3;nd;1;1
B0300040400000;2003;1;1;nd;1;1
B0300040900000;2003;1;1;nd;1;1
B0300041300000;2003;1;1;nd;0;0
B0300041500000;2003;1;1;nd;1;1
B0300046000000;2003;1;3;nd;1;1
B0300046600000;2002;1;3;nd;1;0
B0300047000000;2000;1;1;nd;1;0
B0300050000000;2003;1;1;nd;1;1
B0400050100000;2002;1;1;nd;1;1
B0400051500000;2001;1;3;nd;1;0
B0400052300000;2003;1;1;nd;1;1
B0400052500000;1997;1;3;nd;0;0
