cpb,titulo,titulo_norm,festival,pontos_festival,pontuacao_total_obra,fonte
B1900486200000,A FEBRE,a febre,Academia Brasileira de Cinema [Grande Prêmio do Cinema Brasileiro],8.0,114.5,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1900486200000,A FEBRE,a febre,Chicago Latino Film Festival,3.0,114.5,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1900486200000,A FEBRE,a febre,Encontros de Cinema da Amércia Latina de Toulouse,2.0,114.5,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1900486200000,A FEBRE,a febre,Festival de Brasília,8.0,114.5,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1900486200000,A FEBRE,a febre,Festival de Cine de Mujeres – FEMCINE,3.0,114.5,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1900486200000,A FEBRE,a febre,Festival de Cinema Brésilien de Paris,1.5,114.5,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1900486200000,A FEBRE,a febre,Festival de Cinema de Locarno,10.0,114.5,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1900486200000,A FEBRE,a febre,Festival de Cinema e Cultura da América Latina de Biarritz,8.0,114.5,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1900486200000,A FEBRE,a febre,Festival do Rio,8.0,114.5,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1900486200000,A FEBRE,a febre,Festival Internacional de Cine de Mar del Plata,4.0,114.5,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1900486200000,A FEBRE,a febre,Festival Internacional de Cinema Contemporâneo de Assunção,3.0,114.5,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1900486200000,A FEBRE,a febre,Festival Internacional de Cinema de Amiens,2.0,114.5,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1900486200000,A FEBRE,a febre,Festival Internacional de Cinema de Chicago,4.0,114.5,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1900486200000,A FEBRE,a febre,Festival Internacional de Cinema de Pingyao,4.0,114.5,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1900486200000,A FEBRE,a febre,Festival Internacional de Cinema de Punta Del Este,4.0,114.5,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1900486200000,A FEBRE,a febre,Festival Internacional de Cinema de Roterdã,8.0,114.5,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1900486200000,A FEBRE,a febre,Festival Internacional de Cinema de São Francisco,2.0,114.5,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1900486200000,A FEBRE,a febre,Festival Internacional de Cinema de Toronto,3.0,114.5,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1900486200000,A FEBRE,a febre,Festival Internacional de Marrakesh,2.0,114.5,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1900486200000,A FEBRE,a febre,Festival Internacional de Melbourne,2.0,114.5,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1900486200000,A FEBRE,a febre,Festival Internacional de Turim,2.0,114.5,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1900486200000,A FEBRE,a febre,Festival Internacional do Novo Cinema Latino-americano (Festival de Havana),4.0,114.5,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1900486200000,A FEBRE,a febre,FICUNAM,2.0,114.5,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1900486200000,A FEBRE,a febre,Forumdoc.bh - Festival do Filme Documentário e Etnográfico,1.0,114.5,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1900486200000,A FEBRE,a febre,Hong Kong International Film Festival,1.0,114.5,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1900486200000,A FEBRE,a febre,INDIELISBOA - Festival Internacional de Cinema Independente,4.0,114.5,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1900486200000,A FEBRE,a febre,Janela Internacional do Cinema,8.0,114.5,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1900486200000,A FEBRE,a febre,New Directors New Films,1.0,114.5,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1900486200000,A FEBRE,a febre,Thessaloniki International Film Festival,2.0,114.5,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1800445100000,DIAMANTINO,diamantino,BAFICI,2.0,88.0,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1800445100000,DIAMANTINO,diamantino,BFI - Festival de Cinema de Londres,2.0,88.0,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1800445100000,DIAMANTINO,diamantino,Black Nights Film Festival,0.5,88.0,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1800445100000,DIAMANTINO,diamantino,Cine Ceará,2.0,88.0,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1800445100000,DIAMANTINO,diamantino,Donostia - Festival Internacional de Cinema de San Sebastián,3.0,88.0,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1800445100000,DIAMANTINO,diamantino,Festival Cavalo de Ouro de Taipei (Taipei Golden Horse Film Festival),1.0,88.0,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1800445100000,DIAMANTINO,diamantino,Festival de Cannes,16.0,88.0,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1800445100000,DIAMANTINO,diamantino,Festival de Cinema de Bogotá,1.0,88.0,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1800445100000,DIAMANTINO,diamantino,Festival de Cinema de Varsóvia,2.0,88.0,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1800445100000,DIAMANTINO,diamantino,Festival do Rio,2.0,88.0,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1800445100000,DIAMANTINO,diamantino,Festival Internacional de Cinema de Cork,1.0,88.0,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1800445100000,DIAMANTINO,diamantino,Festival Internacional de Cinema de Estocolmo,2.0,88.0,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1800445100000,DIAMANTINO,diamantino,Festival Internacional de Cinema de Karlovy Vary,3.0,88.0,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1800445100000,DIAMANTINO,diamantino,Festival Internacional de Cinema de Miami,4.0,88.0,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1800445100000,DIAMANTINO,diamantino,Festival Internacional de Cinema de Morelia,0.5,88.0,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1800445100000,DIAMANTINO,diamantino,Festival Internacional de Cinema de Munique (Filmfest München),2.0,88.0,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1800445100000,DIAMANTINO,diamantino,Festival Internacional de Cinema de Nova York,2.0,88.0,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1800445100000,DIAMANTINO,diamantino,Festival Internacional de Cinema de Roterdã,3.0,88.0,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1800445100000,DIAMANTINO,diamantino,Festival Internacional de Cinema de Toronto,8.0,88.0,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1800445100000,DIAMANTINO,diamantino,Festival Internacional de Cinema de Viena,2.0,88.0,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1800445100000,DIAMANTINO,diamantino,Festival Internacional de Melbourne,2.0,88.0,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1800445100000,DIAMANTINO,diamantino,Festival Internacional Entrevues Belfort,0.5,88.0,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1800445100000,DIAMANTINO,diamantino,FID Marseille (ex-Festival Internacional de Documentários de Marselha),2.0,88.0,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1800445100000,DIAMANTINO,diamantino,Hong Kong International Film Festival,1.0,88.0,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1800445100000,DIAMANTINO,diamantino,Janela Internacional do Cinema,2.0,88.0,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1800445100000,DIAMANTINO,diamantino,Jeonju Internacional Film Festival,2.0,88.0,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1800445100000,DIAMANTINO,diamantino,Los Angeles AFI Fest,4.0,88.0,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1800445100000,DIAMANTINO,diamantino,Mostra Internacional de Cinema de São Paulo,4.0,88.0,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1800445100000,DIAMANTINO,diamantino,Mumbai International Film Festival,1.0,88.0,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1800445100000,DIAMANTINO,diamantino,Palm Springs,2.0,88.0,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1800445100000,DIAMANTINO,diamantino,Queer Lisboa - Festival Internacional de Cinema Queer,0.5,88.0,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1800445100000,DIAMANTINO,diamantino,Sarajevo Film Festival,1.0,88.0,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1800445100000,DIAMANTINO,diamantino,Sitges - Festival Internacional de Cinema Fantástico da Catalunha,4.0,88.0,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1800445100000,DIAMANTINO,diamantino,Thessaloniki International Film Festival,2.0,88.0,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1800445100000,DIAMANTINO,diamantino,Vancouver International Film Festival,1.0,88.0,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1800293900000,AS HERDEIRAS,as herdeiras,Athens International Film Festival,4.0,83.0,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1800293900000,AS HERDEIRAS,as herdeiras,Donostia - Festival Internacional de Cinema de San Sebastián,10.0,83.0,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1800293900000,AS HERDEIRAS,as herdeiras,Festival de Cinema de Cartagena,8.0,83.0,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1800293900000,AS HERDEIRAS,as herdeiras,Festival de Cinema de Istambul,1.0,83.0,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1800293900000,AS HERDEIRAS,as herdeiras,Festival de Cinema Ibero-americano de Huelva,4.0,83.0,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1800293900000,AS HERDEIRAS,as herdeiras,Festival de Gramado,4.0,83.0,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1800293900000,AS HERDEIRAS,as herdeiras,Festival de Nouveau Cinema,2.0,83.0,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1800293900000,AS HERDEIRAS,as herdeiras,Festival Internacional de Cinema de Berlim,16.0,83.0,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1800293900000,AS HERDEIRAS,as herdeiras,Festival Internacional de Cinema de Edimburgo,1.0,83.0,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1800293900000,AS HERDEIRAS,as herdeiras,Festival Internacional de Cinema de Estocolmo,1.0,83.0,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1800293900000,AS HERDEIRAS,as herdeiras,Festival Internacional de Cinema de Moscou,1.0,83.0,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1800293900000,AS HERDEIRAS,as herdeiras,Festival Internacional de Viña del Mar,4.0,83.0,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1800293900000,AS HERDEIRAS,as herdeiras,Festival Internacional do Novo Cinema Latino-americano (Festival de Havana),4.0,83.0,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1800293900000,AS HERDEIRAS,as herdeiras,Frameline - Festival Internacional de Cinema LGBT de São Francisco,1.5,83.0,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1800293900000,AS HERDEIRAS,as herdeiras,Jeonju Internacional Film Festival,8.0,83.0,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1800293900000,AS HERDEIRAS,as herdeiras,Molodist - Festival Internacional de Cinema de Kiev,1.5,83.0,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1800293900000,AS HERDEIRAS,as herdeiras,Mumbai International Film Festival,2.0,83.0,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1800293900000,AS HERDEIRAS,as herdeiras,SFF - Sydney Film Festival,4.0,83.0,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1800293900000,AS HERDEIRAS,as herdeiras,SIFF - Seattle International Film Festival,2.0,83.0,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1800293900000,AS HERDEIRAS,as herdeiras,Transilvania International Film Festival,3.0,83.0,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
