"cpb";"titulo_original";"paises_festivais";"paises_lumiere_boxoffice_proxy";"paises_vod_europa";"paises_alcancados_total";"paises_alcancados_lista";"observacao"
"B1001236800000";"A GUERRA DOS VIZINHOS";"";"";"";"0";"";"Lumiere cinema usa pais de producao como proxy por falta de pais de exibicao"
"B1101347100000";"BRUNA SURFISTINHA";"";"";"";"0";"";"Lumiere cinema usa pais de producao como proxy por falta de pais de exibicao"
"B1301808100000";"MINHA MÃE É UMA PEÇA";"";"";"";"0";"";"Lumiere cinema usa pais de producao como proxy por falta de pais de exibicao"
"B1302041500000";"OS ULTIMOS CANGACEIROS";"";"";"";"0";"";"Lumiere cinema usa pais de producao como proxy por falta de pais de exibicao"
"B1500585400000";"QUASE MEMÓRIA";"";"";"";"0";"";"Lumiere cinema usa pais de producao como proxy por falta de pais de exibicao"
"B1500701300000";"OPERAÇÕES ESPECIAIS (EX BOLETIM DE OCORRÊNCIA B.O)";"";"";"";"0";"";"Lumiere cinema usa pais de producao como proxy por falta de pais de exibicao"
"B1600064700000";"ESPAÇO ALÉM - MARINA ABRAMOVIC E O BRASIL";"";"";"";"0";"";"Lumiere cinema usa pais de producao como proxy por falta de pais de exibicao"
"B1600193300000";"IMAGENS DO ESTADO NOVO 1937-45";"";"";"";"0";"";"Lumiere cinema usa pais de producao como proxy por falta de pais de exibicao"
"B1600280000000";"MENINO 23 - INFÂNCIAS PERDIDAS NO BRASIL";"";"";"";"0";"";"Lumiere cinema usa pais de producao como proxy por falta de pais de exibicao"
"B1600332400000";"CENTRAL - O FILME";"";"";"";"0";"";"Lumiere cinema usa pais de producao como proxy por falta de pais de exibicao"
"B1600738500000";"OS SALTIMBANCOS TRAPALHÕES - RUMO A HOLLYWOOD";"";"";"";"0";"";"Lumiere cinema usa pais de producao como proxy por falta de pais de exibicao"
"B1700109600000";"GOSTOSAS, LINDAS E SEXIES";"";"";"";"0";"";"Lumiere cinema usa pais de producao como proxy por falta de pais de exibicao"
"B1700123200000";"EXODUS - DE ONDE VIM NÃO EXISTE MAIS";"";"";"";"0";"";"Lumiere cinema usa pais de producao como proxy por falta de pais de exibicao"
"B1700227000000";"CÂMARA DE ESPELHOS";"";"";"";"0";"";"Lumiere cinema usa pais de producao como proxy por falta de pais de exibicao"
"B1700328500000";"D.P.A. - DETETIVES DO PRÉDIO AZUL";"";"";"";"0";"";"Lumiere cinema usa pais de producao como proxy por falta de pais de exibicao"
"B1700428000000";"A MENINA ÍNDIGO";"";"";"";"0";"";"Lumiere cinema usa pais de producao como proxy por falta de pais de exibicao"
"B1700465300000";"MOACIR";"";"";"";"0";"";"Lumiere cinema usa pais de producao como proxy por falta de pais de exibicao"
